success_index,success_time
0,9.4
2,26.35
3,16.25
4,11.5
5,15.05
6,14.5
7,24.35
8,17.650000000000002
10,21.8
11,24.25
13,26.900000000000002
14,13.9
15,13.3
16,15.850000000000001
17,10.8
18,23.8
19,15.8
20,15.75
21,13.05
22,30.700000000000003
24,8.950000000000001
26,14.950000000000001
27,15.200000000000001
28,23.450000000000003
29,23.6
31,13.600000000000001
32,12.200000000000001
33,10.9
35,13.5
38,12.200000000000001
40,17.35
41,11.850000000000001
42,23.950000000000003
43,34.4
44,12.0
45,11.65
46,14.75
50,22.400000000000002
51,23.400000000000002
52,14.700000000000001
53,18.7
54,10.3
55,10.600000000000001
56,19.400000000000002
57,15.55
58,19.950000000000003
59,9.450000000000001
60,12.850000000000001
63,13.100000000000001
64,25.1
65,28.6
66,12.950000000000001
67,22.1
69,26.400000000000002
70,12.100000000000001
71,7.15
72,28.25
73,7.2
74,20.85
77,12.5
79,29.450000000000003
80,14.700000000000001
81,22.150000000000002
82,9.05
83,12.8
84,18.5
85,11.05
86,13.100000000000001
88,20.950000000000003
89,13.55
90,16.2
91,15.100000000000001
92,14.65
93,26.650000000000002
94,9.1
96,13.700000000000001
98,14.600000000000001
99,17.1
